Algorithm,DataSet,FeatureCount,RMSEByRating,RMSEByUser,nDCG,TopNnDCG
ItemItem,FullData,,0.8488547690000001,0.77273091,0.964263538,0.38665350919999997
ItemItem,PartialData,,0.900904583,0.8181792015999999,0.9545310974000001,0.1269841248
PersMean,FullData,,0.9038781951999999,0.8264494158,0.9614898058,0.3858915018
PersMean,PartialData,,0.9155973266,0.8366066141999999,0.9614917662,0.15016898080000002
SVDGlobalMean,FullData,1,0.9750660804000001,0.9129798012,0.9467942434000001,0.3032768568
SVDGlobalMean,FullData,10,0.8592503728,0.7909495754,0.968757952,0.4637366358
SVDGlobalMean,FullData,15,0.8551447620000001,0.7866568796,0.9700292468,0.4682408574
SVDGlobalMean,FullData,20,0.8617914344,0.7928069458,0.9690581924,0.4626141212
SVDGlobalMean,FullData,25,0.8739650254000001,0.8035022508,0.9681017602,0.45847875699999996
SVDGlobalMean,FullData,30,0.8839238567999999,0.8123418892000001,0.9675419279999999,0.45199743400000003
SVDGlobalMean,FullData,40,0.9064951558000001,0.8335240568,0.9653084135999999,0.43954738979999997
SVDGlobalMean,FullData,5,0.8793873804000001,0.8102109462,0.966783669,0.444433711
SVDGlobalMean,FullData,50,0.9266203318,0.8541129194,0.9628593138000001,0.4198452842
SVDGlobalMean,PartialData,1,1.0013990574,0.9369755963999999,0.946927331,0.10979702
SVDGlobalMean,PartialData,10,0.9467809496000001,0.8780808764,0.9615295038000001,0.1682301508
SVDGlobalMean,PartialData,15,0.9516698576,0.8817908456,0.9608026223999999,0.1686412518
SVDGlobalMean,PartialData,20,0.9592633826,0.8877556984,0.9597391416000001,0.16541213159999998
SVDGlobalMean,PartialData,25,0.9661799702,0.8945556254000001,0.9582585894000001,0.1616456456
SVDGlobalMean,PartialData,30,0.9726888137999999,0.9009454900000001,0.9567779068,0.1584351644
SVDGlobalMean,PartialData,40,0.9904037945999999,0.9182132296000001,0.9540085609999999,0.1472098872
SVDGlobalMean,PartialData,5,0.9474290734,0.8797753642,0.9633406852,0.1643069982
SVDGlobalMean,PartialData,50,1.005556905,0.933113623,0.9513605172,0.13474982659999998
SVDItemMean,FullData,1,0.9174808170000001,0.845622835,0.9618921337999999,0.3900438228
SVDItemMean,FullData,10,0.8467807792000001,0.7776693738,0.9701973864,0.44510453180000004
SVDItemMean,FullData,15,0.8413553956,0.7717615836,0.9708785674000001,0.44802708959999993
SVDItemMean,FullData,20,0.8438391125999999,0.7742294562,0.9706971473999999,0.4471599522
SVDItemMean,FullData,25,0.8517969086000001,0.781392952,0.9704566849999999,0.4432633402
SVDItemMean,FullData,30,0.8594517013999999,0.7877219384,0.9701241236,0.4419785654
SVDItemMean,FullData,40,0.8786394270000001,0.8054466082000001,0.9693361348,0.4313731102
SVDItemMean,FullData,5,0.8666778602,0.7968196336,0.9676168858,0.42881170299999993
SVDItemMean,FullData,50,0.8918864972,0.8195380624,0.9685761277999999,0.4238777036
SVDItemMean,PartialData,1,0.9454667863999999,0.8734324555999999,0.9620651633999999,0.15090752059999998
SVDItemMean,PartialData,10,0.9115105587999999,0.8407948918000001,0.9662850475999999,0.16284504460000002
SVDItemMean,PartialData,15,0.9150537996000001,0.8428265960000001,0.9661088968,0.1633707282
SVDItemMean,PartialData,20,0.9213002962000001,0.8477957979999999,0.9656595042000001,0.16227347679999998
SVDItemMean,PartialData,25,0.9269142656,0.8532191666,0.9653151438,0.1618073788
SVDItemMean,PartialData,30,0.9344556428,0.8601166501999999,0.9650712163999999,0.15921610680000003
SVDItemMean,PartialData,40,0.9469322000000002,0.871451695,0.9638770316,0.1576668948
SVDItemMean,PartialData,5,0.9185089397999999,0.847974134,0.965035204,0.158649658
SVDItemMean,PartialData,50,0.959440899,0.883830813,0.9627981311999999,0.15428575380000004
SVDPersMean,FullData,1,0.8818075887999999,0.8044569338,0.9639685163999999,0.39423384420000007
SVDPersMean,FullData,10,0.8275646741999999,0.7543747801999999,0.9707277498,0.4333374254000001
SVDPersMean,FullData,15,0.8213913066,0.7480970188,0.9708654312,0.4366297376
SVDPersMean,FullData,20,0.8213497225999999,0.7482757191999999,0.9707491654,0.43456094479999996
SVDPersMean,FullData,25,0.8249794374,0.7514528380000001,0.9705142460000001,0.4294894738
SVDPersMean,FullData,30,0.8286656755999999,0.7537524964,0.9702338108000002,0.4283211918
SVDPersMean,FullData,40,0.8378118501999999,0.7619868974,0.9699508218,0.41981730939999995
SVDPersMean,FullData,5,0.8471400916,0.7731101805999999,0.9685196326,0.4215689896
SVDPersMean,FullData,50,0.8427295405999999,0.7678351504,0.9693016128,0.41341265479999995
SVDPersMean,PartialData,1,0.901737207,0.8232665418,0.9631056164,0.15141770439999996
SVDPersMean,PartialData,10,0.8756251868,0.7989398444,0.9662217844000001,0.16104003220000002
SVDPersMean,PartialData,15,0.875094077,0.797739584,0.9662852940000001,0.1603128202
SVDPersMean,PartialData,20,0.8781968861999999,0.8006418371999999,0.9657216126,0.1592971338
SVDPersMean,PartialData,25,0.8818304786000001,0.8040255202000001,0.9654601472,0.1588717662
SVDPersMean,PartialData,30,0.8846824172,0.8066451116,0.9649492387999998,0.1589269566
SVDPersMean,PartialData,40,0.891711841,0.8125575594000001,0.9640764065999999,0.1556602894
SVDPersMean,PartialData,5,0.8828840260000002,0.8061358364,0.965339028,0.15781482419999998
SVDPersMean,PartialData,50,0.8981966375999999,0.818939578,0.9636596129999999,0.1528644962
SVDUserMean,FullData,1,0.9019583142,0.8260209946,0.9607500566,0.3753703914
SVDUserMean,FullData,10,0.8431105148,0.770383949,0.969505762,0.44719683559999995
SVDUserMean,FullData,15,0.8381793378000001,0.7658124766000001,0.9703045530000001,0.45252995780000005
SVDUserMean,FullData,20,0.8441174978000001,0.7707164219999999,0.9692282088,0.446656485
SVDUserMean,FullData,25,0.8500624214,0.7763584154,0.9683458264,0.4414825222
SVDUserMean,FullData,30,0.8559839318,0.7810427908,0.9675163656000001,0.435733032
SVDUserMean,FullData,40,0.8691193537999998,0.7933919024,0.9654639514,0.42064514280000004
SVDUserMean,FullData,5,0.8593213086,0.7853271008000001,0.9679186304,0.43307146439999994
SVDUserMean,FullData,50,0.8804934216000001,0.805507214,0.9633096816,0.4034358946
SVDUserMean,PartialData,1,0.936245242,0.8595925806,0.9596501143999999,0.1462438068
SVDUserMean,PartialData,10,0.9128109098000001,0.836887458,0.9615513375999999,0.16267505840000002
SVDUserMean,PartialData,15,0.9155158950000001,0.8388816432,0.9609910084000001,0.1618986248
SVDUserMean,PartialData,20,0.9185813961999999,0.8414463010000001,0.9598735662,0.15982360079999997
SVDUserMean,PartialData,25,0.9237028200000001,0.846660359,0.9581228144,0.15717679999999998
SVDUserMean,PartialData,30,0.9285587555999999,0.8512314061999999,0.95731467,0.1532904826
SVDUserMean,PartialData,40,0.9389917392000001,0.8613341666000001,0.9540099574,0.14218912079999999
SVDUserMean,PartialData,5,0.9162159228,0.8405652160000001,0.9633201824000001,0.1585694704
SVDUserMean,PartialData,50,0.9475885073999999,0.869840381,0.9523137344,0.1337055364
